president,sentence
macri,Seguir el ejemplo de nuestros hermanos chilenos y desarrollar la minería sustentable como lo ha hecho Chile como lo hace Australia como lo hace Canadá la Argentina puede igualar el nivel de exportaciones de todo el complejo agrícola-ganadero en exportaciones de minería sustentable.
macri,El recuperar la potencia la capaciad de generación de energía propia con el shale gas el tail gas.
macri,Y ni qué hablar ser uno de los grandes protagonistas de las energías renovables ya hemos tenido un enorme resultado en la primera licitación y esto no va a parar vamos a tener decenas de miles de megas producidos con energías renovables.
macri,Y también en el turismo.
macri,Todos sabemos que si Australia -que comparte la distancia a los países centrales salvo China que tiene una ventaja geográfica- tiene el triple de turistas que la Argentina todos los años trabajando en conjunto con nuestros hermanos chilenos y con todo el MERCOSUR nosotros tenemos que triplicar la cantidad de turistas.
macri,Y después también tenemos la capacidad por suerte de producir servicios con valor agregado en parte de estas decenas de miles de millones de dólares de anuncios están las principales empresas que varias están acá que hace años operan y que me dicen “persona que encuentre la tomamos porque ahora vamos a brindar servicios desde acá porque el talento el recurso humano es absolutamente valioso”.
macri,Pero eso sin resignar esa enorme capacidad emprendedora que tiene nuestro país que es algo maravilloso.
macri,Yo querría que todos los argentinos pudiesen viajar conmigo cada la semana y verificar las cosas que yo encuentro que yo me sorprendo que agradezco el haberme involucrado en política para conocer más mi país y conocer cada vez más a los argentinos.
macri,Y por eso estamos trabando desde el Ministerio de la Producción con el ministro Cabrera en combinación con Ciencia y Tecnología para apoyar toda la capacidad de innovar darles las herramientas.
macri,Queremos sacar una ley de emprendedorismo que complemente la Ley Pymes que ya ha sido un paso adelante maravilloso y que como decía acá Stegmann es el futuro mayoritario de la creación de empleo que son los primeros emprendimientos.
macri,Y déjenme compartir que en los jóvenes ese espíritu emprendedor continúa.
macri,Nosotros venimos trabajando y Esteban que está por acá les va a comentar seguramente mañana o pasado las cosas que pasan las cosas que nos sorprenden.
macri,Hace poco en un concurso en una escuela de Pilar los chicos de secundaria desarrollaron un app para el celular que sirve para avisarles a todos los que están en la vecindad del Río Luján cuando hay crecida lo hicieron ellos así de la nada.
macri,U otros chicos Esteban en ese concurso con el que yo quedé impresionado que hacían papa en Santa Cruz –no sabía que se hacía papa en Santa Cruz- y con el residuo de la papa crearon un film biodegradable en horas algo que con el plástico habitual lleva un siglo y lo habían desarrollado ellos.
macri,Yo les dije “¿pero ya lo patentaron?” porque yo me sorprendía tan jóvenes tan chicos tenían 15 16 años.
macri,Y no solo los jóvenes.
macri,También si me permiten esas cosas que pasan en la Argentina que todos deberían saber para que tengamos la autoestima puesta en el hacer en la superación.
macri,Yo me enteré que tengo un vecino en mi lugar de fin de semana ahí en la Ruta 8 que produce cables no sé cuántos se enteraron de esta anécdota de los cables que de casualidad un amigo de él tenía como una changa vender cables de repuesto ahí en Nueva York en un par de tiendas.
macri,Y se enteró que en el Empire States los ascensores nuevos no funcionaban el cable no resistía la velocidad trepidaban.
macri,Entonces él fue tenía un contacto y le dijo: “mire
macri,yo tengo un cable argentino que puede…” el tipo le dijo “¿de qué estás hablando?
macri,” Se ve que el tipo es un buen vendedor y lo dejaron entrar en la prueba: los alemanes que mandaron de vuelta un equipamiento una empresa americana y los argentinos que no mandaron el cablecito que tenían de repuesto ahí le mandaron los cables para la ocasión.
macri,Va a la primera prueba el alemán colapsa; va el americano colapsa; va el argentino y -por supuesto tenemos que revertir años de incumplimiento- el tipo les dice “no la prueba está mal la hacemos de vuelta a la tarde” (RISAS) Volvieron a repetir la prueba y el cable argentino anduvo y los otros dos no. Tuvieron que pasar una nueva prueba.
macri,Los tipos dijeron: “No puede ser que venga el ingeniero para explicarnos por qué el cable argentino funciona”.
macri,Fue les explicaron le compraron todos los cables terminaron vendiéndoles también los que reemplazó el World Trade Center los nuevos edificios.
macri,Y era una pyme que se desarrolló en la Ruta 8 durante tantos años.
macri,Los llamé los quise conocer y les dije -y había un señor muy grande ya 70 y pico de años toda su vida trabajando su viejo había empezado- y yo le dije: “Bueno pero ¿cómo lo puedo ayudar?”.
macri,Y me dice: “Empecemos por que no se me corte la luz”.
macri,(APLAUSOS) Porque ahí me enteré que claro se le cortaba la luz y no tenía inercia la máquina y le arruinaba todo el cable entonces perdían todos los cables que tenían en producción.
macri,Y otro ejemplo que quiero compartir con ustedes: es el señor De la Parcossi se llama de apellido; y el otro se llama Pirincho Zicarelli.
macri,En campaña me llevaron ahí a Saladillo y me dice: “Te voy a mostrar una fábrica te vas a sorprender”.
macri,Llegué este señor que no había terminado el secundario me muestra todo orgulloso un pequeño taller donde él había desarrollado helicópteros monoplaza.
macri,No sé si alguno los ha visto.
macri,Y que si lleva uno un segundo lo lleva como si fuese en un moto sentado un poquito más arriba que el primero.
macri,Y yo dije -       ¿esto…?
macri,-       No es un desarrollo mío -       ¿Y cómo le va?
macri,-       
macri,No me va bárbaro pero tengo este tallercito tengo capacidad para producir 28 y tengo siempe vendido un año por adelantado -       ¿Y lo pudo patentar?
macri,-       
macri,No lo patenté en pocos lugares porque no tengo la plata y ya algunos me lo están copiando Yo miré todo eso y dije -       No puede ser ¿usted nunca fue…hace cuántos años que estás?
macri,-       Décadas cuando estaba el BANADE el BICE -       Bueno si yo gano la elección voy a volver y vamos a duplicar la fábrica  ¿cuántos podemos vender por año?
macri,-        Cien Bueno hoy justo hablé con Mayer que se ocupa del emprendedurismo y me dice que ya le aprobaron el primer contrato para ampliar la fábrica en un primer módulo otro para prefinanciación de 5 millones de dólares y otro para capital de trabajo; y el plan es llegar a 100 helicópteros de exportación dentro de 4 años y triplicar la gente empleada en Saladillo.
macri,Y de estos casos estoy seguro que ustedes saben muchísimo más que yo.
macri,Muchísimo más que yo.
macri,Y cuando les hablo de esto no es que reniegue de los enormes desafíos que tenemos.
macri,Porque los tenemos claramente.
macri,Vos listaste muchos de ellos; y el primero el central es que tengamos todos la obsesión -como si fuese algo litúrgico-  de la productividad.
macri,Como se lo digo a los compañeros gremialistas que el General Perón decía Urtubey ¿no? que la estrella polar de un país debe ser la productividad.
macri,Y quiero decirles que en ese camino de la productividad primero el que tiene que dar los pasos más rápidos y más eficientemente es el Estado; porque el Estado no puede ser una carga no puede ser una traba un obstáculo.
macri,Tiene que ser un facilitador tiene que ser el socio que necesita cada emprendedor que necesita dar sus primeros pasos.
macri,O aquel que ya los dio y necesita llegar a más lugares en el mundo.
macri,Y por eso es que lanzamos este Plan de Infraestructura más importante de la historia porque es responsabilidad del Estado construir esas infraestructuras.
macri,Y por eso estamos tratando de simplificar.
macri,Y tenemos que ir reduciendo impuestos y hacerlos más racionales y hay muchas cosas que tenemos que hacer empezando por recrear la importancia el valor de la carrera pública: que realmente el concurso valga que la gente se esfuerce que el Estado forme y que pase como pasa en muchas sociedades que el que se forma bien en el Estado tal vez después circule hacia el sector privado y después por ahí vuelve al Estado.
macri,Pero somos todos parte de un mismo equipo que nos nutrimos que trabajamos en conjunto.
macri,Y yo creo que también ahí después de tantos años de lidiar con personajes exóticos que decidían si ustedes vendían o no vendían a qué precios cómo era si tenían que ir a Angola o si no los mataban; entonces iban todos a Angola en fila india.
macri,Hay que volver a meterse en las fábricas hay que volver a meterse en la empresa hay que volver a hacerse cargo de reducir los costos de ofrecerle a los argentinos mejores productos a mejores precios de mejor calidad.
macri,Y prepararse porque todos juntos de a poco vamos a integrarnos al mundo; nos va a llevar años tenemos años para hacer los deberes entre todos.
macri,Y primero insisto lo tiene que hacer el Gobierno el Estado.
macri,Y después de mi Gobierno el que siga.
macri,Porque somos todos socios en conseguir empleo.
macri,El mundo está difícil lo dijiste recién: se van a destruir muchos empleos tradicionales.
macri,Entonces necesitamos aprovechar esa primera agenda que tenemos pero estar todos obsesionados por ser parte de esta sociedad del conocimiento; que por suerte no es casualidad que tengamos “Cuatro Unicornios” ese nombre raro que le pusieron lo decíamos el otro día en el Foro; estuve con ellos charlando.
macri,Tenemos muchos jóvenes con capacidad creativa; tenemos que lograr que se den las condiciones para que estén acá para que se queden para que no se vayan para que sientan que acá los valoramos.
macri,Y claramente el otro desafío que vos también citaste es la educación.
macri,La educación pública es la herramienta; no podemos seguir ahondando en la fractura entre los que pueden pagar y los que no lo pueden hacer.
macri,Necesitamos empezar los procesos de evaluación que es parte de la agenda de decirnos la verdad de saber dónde estamos; que ya sabemos dónde estamos.
macri,Cuando Esteban dice: “De cada 4 chicos que van a comenzar el colegio –porque comenzaron el 1ro de marzo pasado- sólo 2 van a terminar” quiere decir que el que tenés en el banco compartiendo al lado tuyo no va a terminar.
macri,Y de los 2 que terminan uno solo comprende textos.
macri,O sea uno solo va a estar en condiciones de adquirir un buen empleo.
macri,Nos tiene que llamar desesperadamente a la tarea.
macri,Es decir no podemos perder un minuto más.
macri,Tenemos que lograr desde la sociedad que los padres los docentes el Gobierno todos nos sentemos a decir “bueno ¿de qué manera vamos a corregir esto?”.
macri,Si supimos hacerlo una vez ¿por qué no vamos a poder volver a hacerlo?
macri,Y sin reivindicar aquello porque ya no serviría tampoco.
macri,Hay que hacer lo más moderno que haya ahora en el acceso a la tecnología en la innovación pedagógica en sistemas flexibles que ya estamos empezando a poner.
macri,También en el tema universitario: que haya créditos reducir carreras todas cosas que tenemos que debatir.
macri,Porque hay que formar hay que darles las herramientas a nuestros jóvenes.
macri,Si no los condenamos a creer que como ellos estuvieron en el colegio van a tener algo que como estuvieron en la universidad van a tener algo y no. No es solamente ir al colegio o ir a la universidad.
macri,Es importante estar terminar retenerlos.
macri,Pero es importante que se sientan desafiados que sientan que encuentran contenidos que tenemos maestros y padres que entienden que son otras herramientas son otros tiempos.
macri,Y que bueno hay que adaptarse y estar orgullosos de que ellos vayan más rápido que nosotros.
macri,Yo ya me acostumbré: Antonia arma rompecabezas mucho más rápido que yo y  ya está es así.
macri,No sé que tienen estos chicos de ahora pero lo tienen.
macri,Por suerte el martes que viene tenemos la primera prueba Educar.
macri,Todos los chicos por primera vez en la historia de 5to año de secundario y del último grado de primaria van a hacer una evaluación en todo el país escuelas públicas y escuelas privadas.
macri,Y vamos a saber; y seguramente nos va a doler como nos dolió saber que el 32… algo es el índice de pobreza de la Argentina.
macri,Pero yo soy de los que cree que cuando ves la cosa te golpea te duele y si tenés amor propio -porque los argentinos lo tenemos- nos ponemos de pie y decimos “a la tarea”.
macri,Esto es lo que yo siento que está sucediendo en la Argentina.
macri,Por eso firmaron todos los ministros de Educación en Purmamarca; eligieron un lindísimo lugar el que no conoza Purmamarca todavía no sabe lo que se pierde.
macri,Y también diría yo que en esta tarea en este debate noto madurez en una mayoría de los líderes sindicales.
macri,Ya hay muchos años recorridos muchas frustraciones acumuladas.
macri,También hay un espacio para dialogar sector por sector planteando una agenda global.
macri,Por eso hoy firmé el Decreto para la Mesa de la Producción y el Trabajo donde de ahí espero que se desprendan muchísimas Mesas y que cada uno o todos entendamos que este desafío nos tiene que convocar a todos porque el país es nuestra casa.
macri,Y sabemos todos que recibimos una casa el 10 de diciembre con la calefacción rota problemas de techo de goteras de humedades de baños.
macri,Y encima cuando tenés que reparar es peor porque entran todos los gremios adentro todo el mundo trabajando polvo no podés vivir te ponés de mal humor te molesta te complica.
macri,Pero la bancás como bancaron los argentinos y yo estoy muy orgulloso de la respuesta que han tenido todos los que vivimos en este país entendiendo que estamos echando bases para esa Argentina que nos merecemos para esa Argentina que tiene que incluir a todos.
macri,Y por suerte después de más de un lustro sin crecer el año que viene vamos a volver a crecer.
macri,Esa es una noticia maravillosa.
macri,El tema es que entendamos definitivamente que esta es la casa de todos que esto no depende de un Presidente no depende de su Gobierno; depende de lo que hacemos cada uno de los argentinos.
macri,Todos somos valiosos todos tenemos algo que aportar pero ustedes muchísimo más: ustedes tienen talento ustedes tienen capacidad de crear capacidad de generar riqueza; y a partir de ahí uno puede empezar a pensar en distribuir o en un Estado al servicio de la gente.
macri,Por eso les pido en nombre de todos los argentinos: compromiso entusiasmo ganas de demostrar que lo que vale en la vida es la superación el esfuerzo personal eso es lo que te dignifica.
macri,Y ustedes como líderes cada uno en su lugar tiene que transmitir ese mensaje.
macri,Y no sólo poner toda su capacidad todo su ingenio sino también poner solidaridad y poner el corazón.
macri,Muchas gracias.
macri,(APLAUSOS)
macri,Buenos días buenos días a todos la verdad es que nos tocó un día excepcional.
macri,Recién caminando con los muchachos -que están trabajando ya hace varias semanas en esta obra tan importante- me decían que es un día increíble porque acá siempre hay un viento que te volás muy característico de la zona de esta maravillosa zona.
macri,Buenos días Gobernador.
macri,Gracias por recibirme una vez más acá en la provincia donde estoy cada vez que puedo; intendente de Neuquén “Pechi” Quiroga que nos acompaña; intendente de San Martín y de Junín gracias por esta bienvenida que nos dan en un día tan maravilloso.
macri,También creo que está el Intendente de Villa La Angostura -otro lugar único en el mundo-; y a todos los trabajadores que están haciendo realidad en el día de hoy algo tan importante.
macri,Pero Omar arrancó mencionando al pasar algo que yo quiero destacar: ayer tuvimos una reunión histórica.
macri,Después de más de 20 años el Presidente de la República se reunió con todos los gobernadores de la Patagonia.
macri,Y nos reunimos para entre todos juntos pensar y comprometernos a trabajar para desarrollar esto que representa a un tercio del territorio argentino donde viven tres millones de argentinos que creen que tienen derecho también a un mejor futuro.
macri,La verdad es que la reunión fue muy pero muy buena porque fuimos con algunas ideas como disparadores de esta propuesta y buscando enriquecerla con el trabajo no sólo de los gobernadores de los intendentes de las fuerzas de la sociedad civil que tienen que sumarse a esta mesa de trabajo.
macri,Porque no quedan dudas que hoy en este siglo XXI tenemos que enfrentar innumerable cantidad de desafíos pero también son oportunidades; y la Patagonia tiene mucho para aportar.
macri,En este Plan Patagonia que hemos lanzado el día de ayer tomamos conciencia hablando entre todos de la cantidad de cosas que podemos desarrollar: áreas nuevas de riego -estamos hablando de cientos de miles de hectáreas-; proyectos de energía a partir de plantas hidroeléctricas; energía eólica algo nuevo que apareció donde la Patagonia tiene un rol protagónico mundial.
macri,Las posibilidades a partir del gas del petróleo de la minería siempre teniendo mucho cuidado del medio ambiente.
macri,El turismo -cada vez es más atractiva para el mundo nuestra querida Patagonia-: los parques nacionales un parque marítimo que tenemos en marcha.
macri,Son muchas cosas que podemos desarrollar en esta región que pueden traer trabajo de calidad en el hacer y en el continuar a muchos argentinos.
macri,Por eso estoy muy contento de esa reunión de ese comienzo de un trabajo conjunto que como dijo Omar no importa cuál sea nuestra pertenencia política nos une algo muy importante que es el futuro de nuestro país.
macri,Y esta obra tiene mucho que ver con lo que hablamos ayer porque un aeropuerto simboliza la unión es la puerta de entrada a dos ciudades en el día de hoy.
macri,Hoy 60 mil personas por año llegan a esta región por este aeropuerto.
macri,Y con estas obras que estuvieron postergadas durante años décadas vamos a lograr -como decía el Gobernador- que el aeropuerto opere las 24 horas; eso va a permitir que mucha más gente pueda venir y conocer este maravilloso lugar.
